id,subject,type,name,rarity,mp,damage,shield,utility_value,front_text,flavor
"수학_공격_001","수학","공격","방정식의 일격","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","좌변과 우변을 같게 만드는 등식. 미지수를 구하기 위한 가장 기본적인 도구다."
"수학_공격_002","수학","공격","함수 사출","희귀","3","10","","","MP 3 소모, 대상에게 데미지 10.","한 값을 다른 값에 대응시키는 규칙. 입력 하나에 출력은 반드시 하나다."
"수학_공격_003","수학","공격","미분 베기","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","순간의 변화율을 구하는 연산. 그래프 위 한 점에서의 기울기를 알려준다."
"수학_공격_004","수학","공격","적분 파동","전설","5","17","","","MP 5 소모, 대상에게 데미지 17.","작은 조각들을 무한히 더해 넓이나 총량을 구하는 연산. 미분의 역과정이다."
"수학_공격_005","수학","공격","확률 주사위","희귀","4","13","","","MP 4 소모, 대상에게 데미지 13.","어떤 사건이 일어날 가능성을 0과 1 사이의 수로 나타낸 것."
"수학_공격_006","수학","공격","통계 일격","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","자료를 수집·정리·분석해 경향을 파악하는 방법."
"수학_공격_007","수학","공격","삼각비 사격","희귀","4","9","","","MP 4 소모, 대상에게 데미지 9.","직각삼각형에서 각과 변의 비율 관계(sin, cos, tan)."
"수학_공격_008","수학","공격","벡터 관통","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","크기와 방향을 함께 가지는 양. 화살표로 표현된다."
"수학_공격_009","수학","공격","행렬 압축","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","수를 직사각형 모양으로 배열한 것. 여러 데이터를 한 번에 다룰 수 있다."
"수학_공격_010","수학","공격","수열의 연쇄","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","일정한 규칙에 따라 나열된 수의 열."
"수학_공격_011","수학","공격","좌표평면 낙하","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","가로축과 세로축으로 위치를 정확히 표시하는 평면."
"수학_공격_012","수학","공격","로그 폭발","희귀","3","8","","","MP 3 소모, 대상에게 데미지 8.","지수의 역연산. 아주 큰 수를 다루기 쉽게 압축한다."
"수학_공격_013","수학","공격","지수 상승","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","같은 수를 여러 번 곱한 것을 나타내는 표현."
"수학_공격_014","수학","공격","인수분해 절단","전설","5","19","","","MP 5 소모, 대상에게 데미지 19.","다항식을 여러 개의 곱으로 쪼개는 과정."
"수학_공격_015","수학","공격","이차방정식 강타","희귀","4","11","","","MP 4 소모, 대상에게 데미지 11.","차수가 2인 방정식. 근의 공식으로 항상 풀 수 있다."
"수학_공격_016","수학","공격","피타고라스 창","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","직각삼각형에서 빗변의 제곱은 다른 두 변의 제곱의 합과 같다."
"수학_공격_017","수학","공격","원의 방정식","희귀","4","13","","","MP 4 소모, 대상에게 데미지 13.","평면 위 한 점에서 일정한 거리(반지름)에 있는 점들의 집합."
"수학_공격_018","수학","공격","극한 저격","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","어떤 값에 한없이 가까워질 때의 상태를 다루는 개념."
"수학_공격_019","수학","공격","경우의 수 폭격","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","어떤 사건이 일어날 수 있는 모든 가짓수."
"수학_공격_020","수학","공격","부등식 압박","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","두 값의 크기 관계를 부등호로 나타낸 식."
"수학_방어_021","수학","방어","항등원 방패","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","연산을 해도 원래 값을 바꾸지 않는 수(덧셈의 0, 곱셈의 1)."
"수학_방어_022","수학","방어","절댓값 보호막","희귀","3","","8","","MP 3 소모, 받는 데미지 8만큼 감소(1회).","수직선 위에서 원점으로부터의 거리. 항상 0 이상이다."
"수학_방어_023","수학","방어","정의역 결계","일반","2","","6","","MP 2 소모, 받는 데미지 6만큼 감소(1회).","함수에 넣을 수 있는 입력값들의 집합."
"수학_방어_024","수학","방어","공집합 회피","전설","5","","10","","MP 5 소모, 받는 데미지 10만큼 감소(1회).","원소가 하나도 없는 집합. 모든 집합의 부분집합이다."
"수학_방어_025","수학","방어","여집합 반사","희귀","4","","6","","MP 4 소모, 받는 데미지 6만큼 감소(1회).","전체집합에서 어떤 집합을 뺀 나머지 부분."
"수학_방어_026","수학","방어","대칭 방벽","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","어떤 축이나 점을 기준으로 모양이 같아지는 성질."
"수학_방어_027","수학","방어","역함수 반전","희귀","4","","8","","MP 4 소모, 받는 데미지 8만큼 감소(1회).","입력과 출력을 서로 뒤바꾼 함수."
"수학_방어_028","수학","방어","검산 보정","일반","1","","3","","MP 1 소모, 받는 데미지 3만큼 감소(1회).","계산 결과가 맞는지 다시 확인하는 절차."
"수학_방어_029","수학","방어","근의 공식 방어","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","이차방정식의 해를 구하는 일반 공식."
"수학_방어_030","수학","방어","공배수 결합","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","두 수 이상의 공통된 배수."
"수학_유틸_031","수학","유틸","치환 위장","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","식의 일부를 다른 문자로 바꿔 계산을 간단히 하는 방법."
"수학_유틸_032","수학","유틸","대입 전환","희귀","3","","","3","MP 3 소모, 진영 특성에 맞는 특수 효과(보정치 3) 1회 적용.","문자에 특정한 값을 넣는 것."
"수학_유틸_033","수학","유틸","소인수분해 분해","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","어떤 수를 소수들의 곱으로 나타내는 것."
"수학_유틸_034","수학","유틸","최대공약수 탐색","전설","5","","","5","MP 5 소모, 진영 특성에 맞는 특수 효과(보정치 5) 1회 적용.","두 수 이상의 공통된 약수 중 가장 큰 수."
"수학_유틸_035","수학","유틸","최소공배수 연결","희귀","4","","","4","MP 4 소모, 진영 특성에 맞는 특수 효과(보정치 4) 1회 적용.","두 수 이상의 공통된 배수 중 가장 작은 수."
"수학_유틸_036","수학","유틸","순열 정렬","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","서로 다른 것들을 순서를 고려해 나열하는 경우의 수."
"수학_유틸_037","수학","유틸","조합 선택","희귀","4","","","4","MP 4 소모, 진영 특성에 맞는 특수 효과(보정치 4) 1회 적용.","순서를 고려하지 않고 몇 개를 골라내는 경우의 수."
"수학_유틸_038","수학","유틸","그래프 개형 스캔","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","함수의 대략적인 모양을 파악하는 것."
"수학_유틸_039","수학","유틸","좌표 변환","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","한 좌표계의 점을 다른 좌표계로 옮겨 나타내는 것."
"수학_유틸_040","수학","유틸","근사값 추정","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","정확한 값 대신 오차 범위 안의 값을 구하는 것."
"영어_공격_041","영어","공격","현재완료 스트라이크","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","have/has + 과거분사. 과거의 일이 현재까지 영향을 미침을 나타낸다."
"영어_공격_042","영어","공격","과거완료 브레이크","희귀","3","8","","","MP 3 소모, 대상에게 데미지 8.","had + 과거분사. 과거의 한 시점보다 더 이전에 일어난 일을 나타낸다."
"영어_공격_043","영어","공격","수동태 반격","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","주어가 동작을 받는 문장 구조(be + 과거분사)."
